Trial Id,Phase,Condition,Intervention,High Confidence Event(s),Death Category,Has death? (Y/N)
NCT01190839,Phase 3,Crohn's_Disease,Infliximab Placebo ,Malaise ,Pregnancy_puerperium_and_perinatal_conditions ,Y
NCT01191086,Phase 3,Epilepsy,USL255,N/A,N/A,N
NCT01191255,Phase 3,Hyperphosphatemia Kidney_Failure ,ferric_citrate_ca_acetate_sevelamer_carbonate_placebo,Orthostatic_hypotension Oesophagitis Gangrene Hemiparesis Renal_failure_chronic Skin_ulcer Haematemesis Encephalopathy Haematoma Haemorrhage ,Cardiac_disorders ,Y
NCT01191320,Phase 2,Type_2_Diabetes_Mellitus Secondary_Hypogonadism ,Placebo Androxal ,N/A,N/A,N
NCT01191268,Phase 3,Diabetes_Mellitus_Type_2,Insulin_Glargine LY2189265 Insulin_Lispro ,Localised_infection Ventricular_tachycardia Cystitis Sciatica Ventricular_fibrillation Multi-organ_failure Rectal_cancer Haemorrhage ,General_disorders ,Y
NCT01191944,Phase 3,Parkinson_Disease,pramipexole_immediate_release_tablet pramipexole_extended_release_tablet ,Fracture Orthostatic_hypotension ,N/A,N
NCT01192178,Phase 4,Asthma,FLOVENT‰ã¢_DISKUS‰ã¢_100_mcg_BID ADVAIR‰ã¢_DISKUS‰ã¢_100/50_mcg_BID ,N/A,N/A,N
NCT01192295,Phase 3,Pain,Oxycodone_HCl_controlled-release_tablets,Cardio-respiratory_arrest Gangrene ,N/A,N
NCT01192191,Phase 3,Pulmonary_Disease_Chronic_Obstructive,Fluticasone_Furoate/GW642444_Inhalation_Powder_100/25mcg Fluticasone_Furoate/GW642444_Inhalation_Powder_200/25mcg ,Ventricular_tachycardia Multi-organ_failure ,N/A,N
NCT01192347,N/A,Essential_Thrombocythemia,N/A,N/A,N/A,N
NCT01193101,Phase 2,Hypertension,LCZ696 Placebo ,N/A,N/A,N
NCT01193218,Phase 2,Diabetes_Mellitus_Type_2,Placebo_(low_dose) Placebo_(low_dose) Placebo_(mid_dose) Placebo_(high_dose) BI_10773 Placebo_(mid_dose) Placebo_(high_dose) Placebo_(high_dose) BI_10773 BI_10773 Placebo_(mid_dose) Placebo_(high_dose) Placebo_(low_dose) Placebo_(low_dose) BI_10773 Placebo_(mid_dose) ,Bladder_cancer Duodenal_ulcer ,N/A,N
NCT01193153,Phase 3,Schizoaffective_Disorder,Placebo paliperidone_palmitate ,N/A,N/A,N
NCT01193556,N/A,Tonsillitis,PEAK_PlasmaBlade_TnA Traditional_Electrosurgery_with_scalpel ,N/A,N/A,N
NCT01193127,Phase 2,Cataract,OMS302_Solution OMS302_Mydriatic_Solution OMS302_Anti-inflammatory_Solution Balanced_Salt_Solution_(BSS)_Solution ,N/A,N/A,N
NCT01193348,Phase 2,Atypical_Hemolytic-Uremic_Syndrome,Eculizumab,N/A,N/A,N
NCT01193582,Phase 4,Pneumococcal_Infections,Prevenar Prevenar Prevenar Prevenar ,Circulatory_collapse ,N/A,N
NCT01193660,N/A,Cerebral_Palsy,Umbilical_Cord_Blood_Infusion Erythropoietin_Injection Active_Rehabilitation Placebo_Umbilical_Cord_Blood Placebo_Erythropoietin ,N/A,Respiratory_thoracic_and_mediastinal_disorders ,Y
NCT01193335,Phase 4,13-valent_Pneumococcal_Vaccine Premature_Birth Immunization Safety ,13-valent_pneumococcal_conjugate_vaccine 13-valent_pneumococcal_conjugate_vaccine ,N/A,N/A,N
NCT01194089,Phase 4,Pain_Postoperative,Nasal_Nicotine_Spray Nasal_Normal_Saline_Spray ,N/A,N/A,N
NCT01193920,Phase 1/Phase 2,Streptococcal_Infections,Group_B_Streptococcus_Trivalent_Vaccine_-_20/20/20_ë_g Saline_solution Group_B_Streptococcus_Trivalent_Vaccine_-_0.5/0.5/0.5_ë_g Group_B_Streptococcus_Trivalent_Vaccine_-_2.5/2.5/2.5_ë_g Group_B_Streptococcus_Trivalent_Vaccine_-_5/5/5_ë_g saline_solution ,N/A,Pregnancy_puerperium_and_perinatal_conditions ,Y
NCT01194245,Phase 2,Diabetes_Mellitus_Type_1,Insulin_lispro recombinant_human_hyaluronidase_PH20 Insulin_aspart Insulin_glulisine Insulin_glargine ,N/A,N/A,N
NCT01194219,Phase 3,Plaque_Psoriasis,Apremilast Placebo Topical_treatments_or_phototherapy ,Orthostatic_hypotension ,N/A,N
NCT01194258,Phase 2,Diabetes_Mellitus_Type_II,Insulin_lispro Insulin_aspart Recombinant_human_hyaluronidase_PH20 Insulin_glulisine Insulin_glargine ,N/A,N/A,N
NCT01194414,Phase 3,Rheumatoid_Arthritis,tocilizumab_SC tocilizumab_IV placebo_to_tocilizumab_SC placebo_to_tocilizumab_IV Disease-modifying_antirheumatic_drugs_(DMARDs) ,Sciatica Peripheral_ischaemia ,N/A,N
NCT01194830,Phase 3,Diabetes_Mellitus_Type_2,Linagliptin Placebo ,N/A,N/A,N
NCT01195103,Phase 4,Procedural_Sedation Regional_Anesthesia_Block Orthopedic_Surgery ,Fospropofol_disodium Fospropofol_disodium Placebo_+_Midazolam Fentanyl ,N/A,N/A,N
NCT01194973,Phase 2,Atypical_Hemolytic-Uremic_Syndrome,Eculizumab,Renal_failure_chronic ,N/A,N
NCT01195272,Phase 4,Rheumatoid_Arthritis,tocilizumab_[RoActemra/Actemra],N/A,N/A,N
NCT01195415,Phase 2,Recurrent_Pancreatic_Carcinoma Stage_IV_Pancreatic_Cancer ,Gemcitabine_Hydrochloride Laboratory_Biomarker_Analysis Vismodegib ,Multi-organ_failure ,N/A,N
NCT01195467,Phase 3,HIV_Infection,Truvada/Raltegravir,N/A,N/A,N
NCT01195636,Phase 2,Postherpetic_Neuralgia,XPF-002 Placebo ,N/A,N/A,N
NCT01195675,Phase 1,Healthy,BI_10773_(low) Moxifloxacin BI_10773_Placebo BI_10773_(high) ,N/A,N/A,N
NCT01195831,Phase 3,Scalp_Psoriasis,Xamiolå¨_gel Calcipotriol_scalp_solution ,N/A,N/A,N
NCT01196052,Phase 2,Breast_Cancer,Trastuzumab_emtansine,N/A,N/A,N
NCT01196078,Phase 4,Non-Small_Cell_Lung_Cancer,erlotinib_[Tarceva] vinorelbine ,Cardiopulmonary_failure Melaena ,N/A,N
NCT01196104,Phase 3,Type_2_Diabetes,Technosphereå¨_Insulin_Inhalation_Powder Insulin_Aspart Insulin_Glargine ,N/A,N/A,N
NCT01196026,Phase 4,Influenza_Infection,Fluarix‰ã¢ Havrix‰ã¢_Junior ,N/A,N/A,N
NCT01196741,Phase 2/Phase 3,Ovarian_Cancer Fallopian_Tube_Cancer Primary_Peritoneal_Cancer ,Paclitaxel Saracatinib Matched_placebo ,N/A,N/A,N
NCT01197417,Phase 2/Phase 3,Sickle_Cell_Disease,Intravenous_Magnesium_Sulfate Normal_Saline_Placebo ,N/A,N/A,N
NCT01196975,Phase 3,Influenza,Quadrivalent_seasonal_influenza_vaccine_GSK2282512A FluLavalTM-VB FluLavalTM-YB ,Renal_failure_chronic Cardiopulmonary_failure Rectal_cancer ,N/A,N
NCT01196988,Phase 3,Influenza,Influenza_vaccine_GSK2321138A FluarixTM Influenza_vaccine_GSK2604409A ,N/A,N/A,N
NCT01197508,Phase 3,Major_Depressive_Disorder,TC-5214 Placebo ,N/A,N/A,N
NCT01197521,Phase 3,Rheumatoid_Arthritis,fostamatinib fostamatinib placebo_fostamatinib ,N/A,N/A,N
NCT01197560,Phase 2/Phase 3,Diffuse_Large_B-cell_Lymphoma,Lenalidomide Gemcitabine Oxaliplatin Rituximab Etoposide ,N/A,N/A,N
NCT01197794,Phase 2,Asthma_Patients,AZD1981 AZD1981 Placebo ,N/A,N/A,N
NCT01197755,Phase 3,Rheumatoid_Arthritis,fostamatinib fostamatinib placebo ,N/A,N/A,N
NCT01197534,Phase 3,Rheumatoid_Arthritis,fostamatinib fostamatinib placebo_fostamatinib ,N/A,N/A,N
NCT01198327,Phase 3,Retinal_Vein_Occlusion,ranibizumab Peripheral_Laser ,N/A,General_disorders ,Y
NCT01198366,Phase 1/Phase 2,Tuberculosis,AERAS-402_1.5_x_10^10_vp AERAS-402_3.0_x_10^10_vp AERAS-402_1.0_x_10^11_vp Placebo ,Haemoglobin_decreased ,General_disorders ,Y
NCT01198548,Phase 2,Stage_IV_Colon_Cancer Stage_IV_Rectal_Cancer ,leucovorin_calcium bevacizumab cholecalciferol fluorouracil oxaliplatin pharmacological_study ,N/A,N/A,N
NCT01198769,Phase 4,Rotavirus_Gastroenteritis,Rotarix_TM,N/A,N/A,N
NCT01198795,Phase 4,Major_Depressive_Disorder,Escitalopram,N/A,N/A,N
NCT01198873,Phase 4,Atrial_Fibrillation,Dronedarone Placebo_(for_Dronedarone) ,N/A,N/A,N
NCT01198756,Phase 3,Influenza_Human Seasonal_Influenza ,Quadrivalent_seasonal_influenza_vaccine_GSK2282512A Fluarix‰ã¢_VB Fluarix‰ã¢_YB Quadrivalent_seasonal_influenza_vaccine_GSK2282512A ,N/A,N/A,N
NCT01199744,N/A,Influenza_Human,zanamivir,N/A,N/A,N
NCT01199705,Phase 3,Primary_Immune_Deficiency,Immune_Globulin_Subcutaneous_(Human)_(SCIG),N/A,N/A,N
NCT01199861,Phase 3,Relapsing_Multiple_Sclerosis,Fingolimod Placebo Seasonal_influenza_vaccine Tetanus_toxoid_vaccine ,N/A,N/A,N
NCT01199939,Phase 2,Human_Immunodeficiency_Virus_(HIV),Etravirine Ritonavir Darunavir ,N/A,N/A,N
NCT01200498,Phase 2,Myeloproliferative_Disorders,SB939,N/A,N/A,N
NCT01200797,Phase 2,Recurrent_Fallopian_Tube_Cancer Recurrent_Ovarian_Epithelial_Cancer Recurrent_Primary_Peritoneal_Cavity_Cancer ,SJG-136 laboratory_biomarker_analysis ,N/A,General_disorders ,Y
NCT01200992,Phase 3,Bladder_Neoplasm Neoplasm_Recurrence_Local Transitional_Cell_Carcinoma Carcinoma_in_Situ Mycobacterium ,EN3348 Mitomycin_C ,N/A,N/A,N
NCT01200758,Phase 3,Non-Hodgkin's_Lymphoma,MabThera_subcutaneous Mabthera_intravenous Standard_Chemotherapy ,Duodenal_ulcer Malaise Multi-organ_failure Cystitis Sciatica Skin_ulcer Cholangitis ,N/A,N
NCT01200368,Phase 3,Healthy_Subjects,13-valent_pneumococcal_conjugate_vaccine_(13vPnC) diphtheria_tetanus_and_acellular_pertussis_vaccine_(DTaP) 7-valent_pneumococcal_conjugate_vaccine_(7vPnC) DTaP DTaP ,N/A,N/A,N
NCT01201317,Phase 2,Neuropathic_Pain,AZD2423 AZD2423 Placebo ,N/A,General_disorders ,Y
NCT01201343,Phase 4,Multiple_Sclerosis_Relapsing_Remitting,Interferon_beta-1a,N/A,N/A,N
NCT01201798,Phase 3,Endogenous_Anterior_Uveitis,Difluprednate_0.05_PERCENT_ophthalmic_emulsion Prednisolone_acetate_1.0_PERCENT_ophthalmic_suspension ,N/A,N/A,N
NCT01201915,Phase 2,Basal_Cell_Carcinoma,Vismodegib,Bladder_cancer ,N/A,N
NCT01201811,Phase 4,Myelodysplastic_Syndromes,Azacitidine,Sciatica Acute_pulmonary_oedema ,N/A,N
NCT01202227,Phase 3,Spinal_Cord_Diseases Spinal_Cord_Injuries Neuralgia Pain ,pregabalin,Melaena Cerebral_haemorrhage ,N/A,N
NCT01202188,Phase 3,Chronic_Obstructive_Pulmonary_Disease_(COPD),indacaterol_and_glycopyrronium_(QVA149) glycopyrronium_(NVA237) indacaterol_(QAB149) tiotropium placebo ,Peripheral_ischaemia Cardio-respiratory_arrest Bladder_cancer ,N/A,N
NCT01202565,N/A,Moderate_to_Severe_Plaque_Psoriasis,N/A,N/A,General_disorders ,Y
NCT01202903,Phase 3,Persistent_Allergic_Asthma,Omalizumab Placebo ,N/A,N/A,N
NCT01203098,Phase 2,Venous_Thromboembolism Thromboembolism Thrombosis Embolism_and_Thrombosis Deep_Vein_Thrombosis Arthroplasty_Replacement_Hip ,DU-176b_15mg DU-176b_30mg Enoxaparin_sodium_20_mg_(=2000IU) ,N/A,N/A,N
NCT01203072,Phase 2,Venous_Thromboembolism Deep_Vein_Thrombosis Total_Knee_Arthroplasty ,DU-176b DU-176b DU-176b DU-176b Placebo ,N/A,N/A,N
NCT01203644,Phase 2,Inguinal_Hernia,SKY0402 Bupivacaine_HCl ,N/A,N/A,N
NCT01203852,Phase 4,Hypertension,Metoprolol Chlorthalidone ,N/A,N/A,N
NCT01203787,Phase 4,Hepatocellular_Carcinoma,Sorafenib_Standard_Dosing_Regimen Sorafenib_Ramp-Up_Regimen ,Encephalopathy ,N/A,N
NCT01203917,Phase 4,Caucasian_Patients_With_EGFR_Mutation_Positive_Advanced_NSCLC,Gefitinib,N/A,N/A,N
NCT01204294,Phase 3,Diabetes_Mellitus_Type_2,Linagliptin Linagliptin Metformin Metformin Linagliptin Linagliptin Linagliptin ,Cerebral_haemorrhage ,N/A,N
NCT01204671,Phase 3,Influenza,Influenza_vaccine_GSK2321138A FluarixTM Influenza_vaccine_GSK2604409A ,Cardiopulmonary_failure Oesophagitis Aortic_aneurysm Cardio-respiratory_arrest ,General_disorders ,Y
NCT01205126,Phase 3,Pain,Hydromorphone_HCl Oxycodone_HCl_CR Placebo ,Bladder_cancer Rectal_cancer ,General_disorders ,Y
NCT01205399,N/A,Hernia,N/A,Haematoma ,N/A,N
NCT01205451,Phase 3,Spasticity_Post-Stroke,Botulinum_toxin_type_A,N/A,N/A,N
NCT01205685,Phase 2,Hormone-sensitive_Metastatic_Breast_Cancer,OSI-906 Erlotinib Letrozole Goserelin ,N/A,N/A,N
NCT01206140,Phase 2,Recurrent_Adult_Soft_Tissue_Sarcoma Stage_III_Adult_Soft_Tissue_Sarcoma Stage_IV_Adult_Soft_Tissue_Sarcoma ,Laboratory_Biomarker_Analysis Selumetinib Temsirolimus ,Malaise ,N/A,N
NCT01206595,Phase 2,Postoperative_Pain,SKY0402 Bupivacaine_HCl ,N/A,N/A,N
NCT01206608,Phase 2,Postoperative_Pain,SKY0402_+_bupivacaine_HCl Mid-dose_SKY0402_+_bupivacaine_HCl ,N/A,N/A,N
NCT01207102,Phase 2,Metastatic_Breast_Cancer,Abraxane Carboplatin ,N/A,N/A,N
NCT01207388,Phase 2,B-cell_Acute_Lymphoblastic_Leukemia,Blinatumomab,Encephalopathy ,N/A,N
NCT01207427,Phase 2,Opioid_Induced_Constipation,Placebo ADL5945_0.1_mg ADL5945_0.25_mg ,N/A,N/A,N
NCT01207414,Phase 4,Schizophrenia,iloperidone,N/A,N/A,N
NCT01207492,Phase 2,Pigmented_Villonodular_Synovitis Diffuse-type_Giant_Cell_Tumor Tenosynovial_Giant_Cell_Tumor ,nilotinib,N/A,N/A,N
NCT01207453,Phase 4,Arthritis_Rheumatoid,Milnacipran Placebo ,N/A,N/A,N
NCT01207648,N/A,Multiple_Sclerosis,Rebifå¨,N/A,N/A,N
NCT01207583,N/A,Healthy_Children_After_Vaccination,Non-interventional_observational_study,N/A,N/A,N
NCT01208181,Phase 3,Arthritis_Rheumatoid,Etoricoxib_60_mg Etoricoxib_90_mg Placebo_to_Etoricoxib_60_mg Placebo_to_Etoricoxib_90_mg ,N/A,N/A,N
NCT01208402,Phase 3,High-risk_Non-cardiovascular_Surgeries,Esmolol,N/A,N/A,N
NCT01208207,Phase 3,Spondylitis_Ankylosing,Part_I_-_etoricoxib_60_mg Part_I_-_etoricoxib_90_mg Part_I-_naproxen_1000_mg Part_I_-_Placebo_to_naproxen_500_mg Part_II-_etoricoxib_60_mg Part_II-_etoricoxib_90_mg Part_II-_naproxen_1000_mg Part_I_-_Placebo_to_etoricoxib_60_mg Part_I_-_Placebo_to_etoricoxib_90_mg Part_II-_Placebo_to_etoricoxib_60_mg Part_II_-_Placebo_to_etoricoxib_90_mg Part_II-_Placebo_to_naproxen_500_mg ,N/A,General_disorders ,Y
NCT01209520,N/A,Lung_Cancer Non_Small_Cell_Lung_Carcinoma Hypermethylation ,Cisplatin Carboplatin Paclitaxel Vidaza Tumor_Specimen_for_Methylation_Analysis Blood_Sample_for_Methylation_Analysis Vinorelbine Docetaxel Pemetrexed ,N/A,N/A,N
NCT01209286,Phase 2,B-ALL,Blinatumomab,Encephalopathy ,N/A,N
NCT01209624,Phase 4,Low_Tension_Glaucoma,N/A,N/A,N/A,N
NCT01209689,Phase 3,Spondylitis_Ankylosing,Tocilizumab Placebo ,N/A,N/A,N
NCT01209702,Phase 3,Spondylitis_Ankylosing,tocilizumab Placebo ,N/A,N/A,N
NCT01209780,Phase 3,Seasonal_Influenza,TIV TIVf Comparator_TIV ,N/A,N/A,N
NCT01210001,Phase 3,Diabetes_Mellitus_Type_2,Placebo BI_10773 Placebo Placebo Placebo BI_10773 ,Haemoglobin_decreased Skin_ulcer Cardio-respiratory_arrest Haematoma ,N/A,N
NCT01210690,N/A,Epilepsy,N/A,N/A,N/A,N
NCT01210495,Phase 2,Hepatocellular_Carcinoma,Axitinib_(AG-013736) Best_Supportive_Care Placebo Best_Supportive_Care ,Encephalopathy Ventricular_tachycardia Cholangitis Lung_disorder ,N/A,N
NCT01211665,Phase 4,Immune_Reconstitution_Inflammatory_Syndrome Leukoencephalopathy_Progressive_Multifocal ,Methylprednisolone Prednisolone ,N/A,N/A,N
NCT01211873,Phase 3,Diagnostic_Self_Evaluation Central_Nervous_System_Diseases ,Dotarem_(gadoterate_meglumine) Magnevist_(gadopentetate_dimeglumine) ,N/A,N/A,N
NCT01212627,Phase 1,Non-Small_Cell_Lung_Cancer,Ridaforolimus Ridaforolimus ,N/A,N/A,N
NCT01212757,Phase 3,Psoriatic_Arthritis,Apremilast_20mg Apremilast_30mg Placebo_+_20_mg_Apremilast Placebo_+_30_mg_Apremilast ,N/A,N/A,N
NCT01212770,Phase 3,Psoriatic_Arthritis,Apremilast_20mg Apremilast_30mg Placebo_+_20_mg_Apremilast Placebo_+_30_mg_Apremilast ,N/A,N/A,N
NCT01213264,N/A,Neuromuscular_Monitoring_After_Administration_of_Neuromuscular_Blocking_Agents_in_Different_Types_of_Surgery,No_neuromuscular_blockade_(NMB)-reversal_agent_used Sugammadex Other_NMB-Reversal_Agents_Used_in_Routine_Anesthesiology_Practice ,N/A,N/A,N
NCT01212991,Phase 3,Prostate_Cancer,Enzalutamide Placebo ,Melaena Duodenal_ulcer Haemoglobin_decreased Spinal_column_stenosis Musculoskeletal_pain Rectal_cancer Bladder_cancer Renal_failure_chronic Acute_pulmonary_oedema Orthostatic_hypotension Circulatory_collapse Cardiac_failure_acute Sick_sinus_syndrome Ventricular_tachycardia Metastases_to_liver Cerebral_haemorrhage Sciatica Aortic_aneurysm ,General_disorders ,Y
NCT01213589,N/A,Aortic_Dissection,N/A,N/A,N/A,N
NCT01213966,Phase 2,Malaria_Falciparum Malaria_Vivax ,OZ439,N/A,N/A,N
NCT01214174,Phase 2,Ocular_Inflammation,IBI-10090,N/A,N/A,N
NCT01214239,Phase 3,Diabetes_Mellitus_Type_2,Placebo Linagliptin ,N/A,N/A,N
NCT01214616,Phase 1,Neoplasms,afatinib_20mg afatinib_40mg vinorelbine_IV_25_or_20mg/m2 ,N/A,N/A,N
NCT01214824,N/A,Diabetes_Mellitus,FreeStyle_Navigator_Continuous_Glucose_Monitoring_System,N/A,N/A,N
NCT01214720,Phase 3,Pancreatic_Cancer,bevacizumab_[Avastin],Haematemesis Melaena Cholangitis Diabetes_mellitus_inadequate_control Haemorrhage Haemoglobin_decreased Lung_disorder ,General_disorders ,Y
NCT01214915,Phase 3,Thrombocythemia_Essential,Anagrelide_Hydrochloride,N/A,N/A,N
NCT01214837,Phase 3,Meningococcal_Disease Meningococcal_Meningitis ,MenACWY-CRM MenACWY-CRM Routine_Vaccines ,Cardio-respiratory_arrest ,N/A,N
NCT01215097,Phase 3,Diabetes_Mellitus_Type_2,Linagliptin placebo ,N/A,N/A,N
NCT01214850,Phase 3,N._Meningitidis_Carriage,Meningococcal_B_Recombinant_+_Outer_Membrane_Vesicle_vaccine_(rMenB+OMV_NZ) MenACWY-CRM_conjugate_vaccine Japanese_Encephalitis_vaccine ,N/A,N/A,N
NCT01215292,Phase 1/Phase 2,Healthy_Males,Acyline Testosterone_gel ketoconazole_400 Ketoconazole_800 Dutasteride Anastrozole Placebo_ketoconazole ,N/A,N/A,N
NCT01215279,Phase 2,Chronic_Obstructive_Pulmonary_Disease Lung_Disease ,AZD2423 Placebo_to_AZD2423 ,N/A,N/A,N
NCT01215435,Phase 4,Diabetes Diabetes_Mellitus_Type_2 ,biphasic_insulin_aspart_30 biphasic_insulin_aspart_30 ,N/A,N/A,N
NCT01215513,Phase 3,Prostate_Cancer,Degarelix,Diabetes_mellitus_inadequate_control ,General_disorders ,Y
NCT01215734,Phase 1,Adult_Stem_Cell_Hematopoetic_Transplant,High-Dose_Trivalent_Inactivated_Influenza_Vaccine_(HD-TIV) Standard_Dose_Trivalent_Inactivated_Flu_Vaccine ,N/A,N/A,N
NCT01216072,Phase 4,Relapsing_Forms_of_Multiple_Sclerosis,Fingolimod Standard_MS_DMTs ,N/A,N/A,N
NCT01216241,Phase 3,Febrile_Neutropenia,Daptomycin Saline_Placebo Daptomycin ,N/A,N/A,N
NCT01216319,N/A,Breast_Cancer Breast_Reconstruction Nipple_Reconstruction ,Nipple_reconstruction,N/A,N/A,N
NCT01215955,Phase 4,Diabetes_Mellitus_Type_2,Insulin_lispro Glargine ,Acute_pulmonary_oedema ,General_disorders ,Y
NCT01217073,Phase 2,Type_2_Diabetes_Mellitus,Omarigliptin Placebo_to_omarigliptin Pioglitazone Metformin Placebo_to_metformin ,Cardiac_failure_acute ,N/A,N
NCT01217229,Phase 2,Hodgkin_Lymphoma,PLX3397,N/A,N/A,N
NCT01217411,Phase 1/Phase 2,Estrogen_Receptor-negative_Breast_Cancer Extensive_Stage_Small_Cell_Lung_Cancer HER2-negative_Breast_Cancer HER2-positive_Breast_Cancer Male_Breast_Cancer Recurrent_Breast_Cancer Recurrent_Melanoma Recurrent_Non-small_Cell_Lung_Cancer Recurrent_Small_Cell_Lung_Cancer Stage_IV_Breast_Cancer Stage_IV_Melanoma Stage_IV_Non-small_Cell_Lung_Cancer Tumors_Metastatic_to_Brain Unspecified_Adult_Solid_Tumor_Protocol_Specific ,Gamma-secretase/Notch_signalling_pathway_inhibitor_RO4929097 Whole-brain_radiation_therapy_(WBRT) Stereotactic_radiosurgery_(SRS) Cognitive_assessment Laboratory_biomarker_analysis ,Ventricular_tachycardia ,General_disorders ,Y
NCT01217463,Phase 3,Diabetic_Foot_Ulcer_of_Neuropathic_Origin,Trafermin_0.01_PERCENT_spray,Cardiac_failure_acute Coronary_artery_stenosis Gangrene ,N/A,N
NCT01217476,Phase 3,Diabetic_Foot_Ulcer_of_Neuropathic_Origin,Trafermin_0.01_PERCENT_spray,Renal_failure_chronic Cystitis ,General_disorders ,Y
NCT01217515,Phase 3,Chronic_Anal_Fissure,Diltiazem_hydrochloride_4_PERCENT_cream Diltiazem_hydrochloride_2_PERCENT_cream Placebo ,N/A,N/A,N
NCT01217112,Phase 2,Dyslipidemias Diabetes_Mellitus_Type_2 ,GWP42003 GWP42003 GWP42004 Placebo ,N/A,N/A,N
NCT01217892,Phase 3,Type_2_Diabetes,dapagliflozin dapagliflozin dapagliflozin metformin placebo ,N/A,N/A,N
NCT01217749,Phase 1/Phase 2,B-cell_Chronic_Lymphocytic_Leukemia Small_Lymphocytic_Lymphoma Prolymphocyctic_Leukemia Richter's_Transformation ,PCI-32765 ofatumumab ,Cardio-respiratory_arrest ,N/A,N
NCT01218009,Phase 3,Asthma,Placebo_Spiromax Albuterol_Spiromax ,N/A,N/A,N
NCT01217944,Phase 3,Pathological_Myopia,Ranibizumab Verteporfin_PDT Sham_Ranibizumab Sham_verteporfin_PDT ,Spinal_column_stenosis Renal_failure_chronic ,N/A,N
NCT01218100,Phase 4,Stage_2_Diastolic_Hypertension,nebivolol_and_lisinopril_(free_combination) nebivolol_monotherapy lisinopril_monotherapy placebo ,N/A,N/A,N
NCT01218308,Phase 3,Influenza,FluLavalå¨_Quadrivalent Havrix‰ã¢ ,N/A,N/A,N
NCT01218646,Phase 3,Influenza,Investigational_Quadrivalent_Inactivated_Influenza_Vaccine_No_Preservative Investigational_Trivalent_Inactivated_Influenza_Vaccine_No_Preservative Fluzoneå¨:_2010-2011_Trivalent_Inactivated_Influenza_Vaccine_No_Preservative Fluzoneå¨:_2010-2011_Trivalent_Inactivated_Influenza_Vaccine_No_Preservative ,N/A,N/A,N
NCT01218594,Phase 2,Non-small_Cell_Lung_Cancer,Endostatin,N/A,N/A,N
NCT01218477,Phase 1/Phase 2,Leukemia,Dasatinib BMS-833923 ,Melaena ,N/A,N
NCT01218971,Phase 3,Alcohol_Dependence,Medisorb_naltrexone_190_mg Medisorb_naltrexone_380_mg ,N/A,N/A,N
NCT01218958,Phase 3,Alcoholism,Medisorb_naltrexone_190_mg Medisorb_naltrexone_380_mg Placebo_matching_Medisorb_naltrexone_190_mg Placebo_matching_Medisorb_naltrexone_380_mg ,N/A,N/A,N
NCT01218997,Phase 3,Alcoholism,Medisorb_naltrexone_380_mg Oral_naltrexone_50_mg ,N/A,N/A,N
NCT01219933,Phase 4,Rheumatoid_Arthritis,methylprednisolone tocilizumab_[RoActemra/Actemra] ,N/A,N/A,N
NCT01220180,N/A,Epilepsy Neuropathic_Pain Fibromyalgia Post-market_Surveillance ,pregabalin_(Lyrica) pregabalin_(Lyrica) pregabalin_(Lyrica) ,N/A,N/A,N
NCT01220466,N/A,Refractive_Error,STAR_S4IR_LASIK_with_iDesign_Aberrometer,N/A,N/A,N
NCT01220869,Phase 3,Prostate_Cancer,Degarelix,N/A,N/A,N
NCT01221272,Phase 4,Myocardial_Perfusion_Imaging Myocardial_Ischemia ,Ranolazine Placebo_to_match_ranolazine SPECT_MPI Exercise ,N/A,N/A,N
NCT01221285,Phase 1,Asthma Perennial_Allergic_Rhinitis ,German_cockroach_(Blattella_germanica)_allergenic_extract,Localised_infection ,N/A,N
NCT01221597,Phase 3,Peyronie's_Disease,AA4500 Placebo ,Sciatica Orthostatic_hypotension ,N/A,N
NCT01221623,Phase 3,Peyronie's_Disease,AA4500 Placebo ,N/A,N/A,N
NCT01222104,N/A,Diagnostic_and/or_Interventional_Radiology_Procedures,N/A,N/A,General_disorders ,Y
NCT01222195,Phase 2,Leukemia,Lenalidomide Darbepoetin_alfa ,N/A,N/A,N
NCT01222286,Phase 2,Smoldering_Multiple_Myeloma,IPH2101,N/A,N/A,N
NCT01222585,Phase 1,Serious_Systemic_Infections Necrotizing_Enterocolitis ,Metronidazole,N/A,General_disorders ,Y
NCT01222533,Phase 2,Pulmonary_Disease_Chronic_Obstructive,Tiotropium_medium Tiotropium_low Tiotropium_high Tiotropium_18mcg Tiotropium_placebo ,Spinal_column_stenosis ,N/A,N
NCT01222884,Phase 3,Chronic_Kidney_Disease_Stage_5_(Dialysis_Dependent),Monofer Iron_sucrose ,N/A,General_disorders ,Y
NCT01224015,Phase 3,Facial_Rhytides Crow's_Feet_Lines Glabellar_Lines ,normal_saline onabotulinumtoxinA_44_U onabotulinumtoxinA_24_U ,N/A,N/A,N
NCT01223937,Phase 3,Nocturia,Desmopressin Placebo ,N/A,N/A,N
NCT01224171,Phase 3,Crohn's_Disease,vedolizumab Placebo ,N/A,N/A,N
NCT01224626,N/A,Vancomycin_Resistance_Enterococcus_Faecium,Zyvox_(linezolid),Multi-organ_failure ,N/A,N
NCT01224782,N/A,Chronic_Kidney_Disease Secondary_Hyperparathyroidism ,N/A,Cardiac_failure_acute Cardio-respiratory_arrest Malaise Renal_failure_chronic ,N/A,N
NCT01224821,Phase 2,Lymphoma_Non-Hodgkin,Tositumomab_(Anti-B1_Antibody)_and_Iodine-131_Tositumomab,N/A,N/A,N
